"伴う","BẠN","ともなう","","Kéo theo","0718200","父は兄を伴って出かけた。:Bố kéo anh trai đi ra ngoài.<br>","N1","14",",newkanjimaster,lesson1,sub1,",""
"聴く","THÍNH","きく","","Nghe","1730200","休日の朝はクラシック音楽を聴く。:Buổi sáng ngày nghỉ thì tôi nghe nhạc cổ điển.<br>","N1","1",",newkanjimaster,lesson1,sub2,",""
"裂く","LIỆT","さく","","Xé","12197200","ハンカチを裂いて傷に巻いた。:Xé khăn mùi xoa, quấn quanh vết thương.<br>","N1","2",",newkanjimaster,lesson1,sub2,",""
"敷く","PHU","しく","","Trải (chiếu)","1543200","新しい部屋にじゅうたんを敷いた。:Trải thảm trong phòng mới.<br>","N1","3",",newkanjimaster,lesson1,sub2,",""
"炊く","XUY","たく","","Nấu (cơm)","08184200","炊いたばかりのご飯はおいしい。:Cơm vừa nấu xong rất là ngon.<br>","N1","4",",newkanjimaster,lesson1,sub2,",""
"吐く","THỔ","はく","","Say","0649200","船に酔って吐いてしまった。:Say tàu thủy nên đã bị nôn.<br>","N1","5",",newkanjimaster,lesson1,sub2,",""
"履く","LÍ","はく","","Đi (giày)","1516200","新しい靴を履いて出かけた。:Đi giày mới đi chơi.<br>","N1","6",",newkanjimaster,lesson1,sub2,",""
"弾く","ĐÀN, ĐẠN","ひく","","Chơi (Piano)","1250200","姉は上手にピアノを弾く。:Chị gái chơi Piano rất giỏi.<br>","N1","7",",newkanjimaster,lesson1,sub2,",""
"描く","MIÊU","えがく","","Vẽ","11111200","美しい風景を描く。: Vẽ phong cảnh đẹp.<br>夢を描く。:Vẽ giấc mơ.<br>","N1","8",",newkanjimaster,lesson1,sub2,",""
"渇く","KHÁT","かわく","","Khô (cổ)","11132200","暑くてのどが渇いた。:Nóng khô cả họng.<br>","N1","9",",newkanjimaster,lesson1,sub2,",""
"砕く","TOÁI","くだく","","Phá (băng)","09163200","船は氷を砕いて、冬の海を進んだ。:Tàu phá băng, tiến lên vào vùng biển mùa đông.<br>","N1","10",",newkanjimaster,lesson1,sub2,",""
"響く","HƯỞNG","ひびく","","Vang vọng","2014200","こつこつと音が響く。:Âm thanh cộc cộc vang vọng.<br>","N1","11",",newkanjimaster,lesson1,sub2,",""
"輝く","HUY","かがやく","","Phát sáng","15112200","ダイヤモンドがキラキラと輝く。:Kim cương tỏa ánh sáng lấp lánh.<br>","N1","12",",newkanjimaster,lesson1,sub2,",""
"脱ぐ","THOÁT","ぬぐ","","Cởi (áo)","11195200","部屋に入ったらコートを脱いでください。:Khi vào nha thì nhớ cởi áo khoác.<br>","N1","13",",newkanjimaster,lesson1,sub2,",""
"稼ぐ","GIÁ","かせぐ","","Kiếm tiền","1568200","彼は１年に１億円稼ぐそうだ。:Hình như la mỗi năm anh ấy kiếm được 800 triệu Yên.<br>","N1","14",",newkanjimaster,lesson1,sub2,",""
"騒ぐ","TAO","さわぐ","","Ầm ĩ","1843200","事項があったらしく、外で人が騒いでいる。:Hình như có sự cố gì đó, phía bên ngoài có tiếng người ầm ĩ.<br>","N1","15",",newkanjimaster,lesson1,sub2,",""
"挿す","SÁP","さす","","Gắn, cài (hoa, châm)","10107200","きれいな花を髪に挿す。:Cài hoa vào tóc.<br>","N1","1",",newkanjimaster,lesson1,sub3,",""
"致す","TRÍ","いたす","","Làm","10202200","この仕事は私が致します。:Tôi sẽ làm việc này.<br>","N1","2",",newkanjimaster,lesson1,sub3,",""
"崩す","BĂNG","くずす","","San bằng, phá hủy","1141200","山を崩して住宅地にする。:Phá hủy núi, làm nhà ở.<br>","N1","3",",newkanjimaster,lesson1,sub3,",""
"脅かす","HIẾP","おどかす","","Uy hiếp","10197200","銀行強盗はピストルを手に「金を出せ」と脅かした。:Tên cướp thò súng ra uy hiếp 「Đưa tiền đây」.<br>","N1","4",",newkanjimaster,lesson1,sub3,",""
"励ます","LỆ","はげます","","Động viên","0735200","練習がつらくてサッカーをやめたくなったとき、友達が励ましてくれた。:Khi muốn từ bỏ bóng đá vì luyện tập quá vất vả, bận bè đã động viên tôi.<br>","N1","5",",newkanjimaster,lesson1,sub3,",""
"繰り返す","SÀO","くりかえす","","Lặp đi lặp lại","1908200","歴史は繰り返すといわれている。:Người ta bảo là Lịch sử lại lặp lai.<br>","N1","6",",newkanjimaster,lesson1,sub3,",""
"撃つ","KÍCH","うつ","","Bắn","1537200","ここでは動物を撃ってはいけない。:Ở đây nghiêm cấm săn bắn động vật.<br>","N1","7",",newkanjimaster,lesson1,sub3,",""
"討つ","THẢO","うつ","","Đánh (thảo phạt)","10212200","討つか討たれるかの戦いをする。","N1","8",",newkanjimaster,lesson1,sub3,",""
"跳ぶ","KHIÊU","とぶ","","Nhảy (lên cao)","13149200","だれが一番高く跳べるか、競争しよう。:Hãy cùng thi xem ai nhảy cao nhât nào.<br>","N1","9",",newkanjimaster,lesson1,sub3,",""
"酌む","CHƯỚC","くむ","","Rót (rượu)","10220200","古い友と酒を酌み交わす。:Rót uống rượu qua lại với bạn cũ.<br>","N1","10",",newkanjimaster,lesson1,sub3,",""
"澄む","TRỪNG","すむ","","Trong trẻo","1560200","澄んだ空気を胸いっぱいに吸う。:Hít đầy lồng ngực không khí trong lành.<br>","N1","11",",newkanjimaster,lesson1,sub3,",""
"踏む","ĐẠP","ふむ","","Dẫm, đạp (phanh)","15111200","車のブレーキを踏む。:Đạp phanh xe.<br>","N1","12",",newkanjimaster,lesson1,sub3,",""
"恨む","HẬN","うらむ","","Hận, Cáu giận","0986200","人を恨んでもよい結果にならない。:Dù có căm giận con người thì cũng không có kết quả tốt.<br>","N1","13",",newkanjimaster,lesson1,sub3,",""
"縮む","SÚC","ちぢむ","","Co lại","1726200","ゴムは伸びたり縮んだりする。:Dây buộc tóc thì la co giãn.<br>","N1","14",",newkanjimaster,lesson1,sub3,",""
"悔やむ","HỐI","くやむ","","Hối hận","0984200","今になって悔やんでも遅い:Bây giờ dù có hối hận thì cũng đã muộn rồi.<br>","N1","15",",newkanjimaster,lesson1,sub3,",""
"膨らむ","BÀNH","ふくらむ","","Nở (hoa)","1654200","桜のつぼみが膨らみ始めた。:Nụ hoa Anh Đào bắt đầu nở.<br>","N1","16",",newkanjimaster,lesson1,sub3,",""
"刈る","NGẢI","かる","","Cắt, tỉa","0426200","伸びた草を刈った。:Tỉa cỏ mọc dài.<br>","N1","1",",newkanjimaster,lesson2,sub4,",""
"釣る","ĐIẾU","つる","","Câu (cá)","11224200","川で魚を釣る。:Câu cá trên sông.<br>","N1","2",",newkanjimaster,lesson2,sub4,",""
"撮る","TOÁT","とる","","Chụp (ảnh)","1539200","家族全員で写真を撮った。:Chụp ảnh cùng tất cả thành viên gia đình.<br>","N1","3",",newkanjimaster,lesson2,sub4,",""
"振る","CHẤN","ふる","","Vẫy tay","10105200","手を振って友達と別れた。:Vẫy tay chào tạm biệt bạn bè.<br>","N1","4",",newkanjimaster,lesson2,sub4,",""
"掘る","QUẬT","ほる","","Đào (hố)","1196200","庭に穴を掘って、池を作った。:Đào lỗ trong vườn, tạo mương nước.<br>","N1","5",",newkanjimaster,lesson2,sub4,",""
"彫る","ĐIÊU","ほる","","Khắc, Trạm (tên)","1155200","指輪に２人の名前を彫った。:Khắc tên 2 người trên nhẫn.<br>","N1","6",",newkanjimaster,lesson2,sub4,",""
"盛る","THỊNH","もる","","Bầy biện","11160200","皿に季節の果物を盛る。:Bầy hoa quả 4 mùa trên đĩa.<br>","N1","7",",newkanjimaster,lesson2,sub4,",""
"至る","CHÍ","いたる","","Tới tận (khuya, đỉnh núi)","06124200","会議は深夜に至るまで続いた。:Meeting kéo dài tới tận đêm.<br>","N1","8",",newkanjimaster,lesson2,sub4,",""
"劣る","LIỆT","おとる","","Kém","0635200","この機械は難しいのと比べて性能が劣る。:","N1","9",",newkanjimaster,lesson2,sub4,",""
"飾る","SỨC","かざる","","Trang Trí","13175200","パーティーなので部屋に花を飾った。:Vì có tiệc, nên trang trí hoa trong phòng.<br>","N1","10",",newkanjimaster,lesson2,sub4,",""
"腐る","HỦ","くさる","","Hôi thối, Tanh","1499200","この魚は腐っている。:Con cá này tanh.<br>","N1","11",",newkanjimaster,lesson2,sub4,",""
"削る","TƯỚC","けずる","","Bào (vỏ cây), gọt (bút chì)","0914200","ナイフで木の表面を削る。:Bào bề mặt của cây bằng dao.<br>","N1","12",",newkanjimaster,lesson2,sub4,",""
"茂る","MẬU","しげる","","Um tùm","08100200","夏の野山は、草や木が茂っていた。:Dã Sơn vào mùa hè thì cỏ va cây mọc um tùm.<br>","N1","13",",newkanjimaster,lesson2,sub4,",""
"縛る","PHƯỢC","しばる","","Buộc (tóc)","1651200","長い髪をゴムで縛る。:Buộc tóc dài bằng chun.<br>","N1","14",",newkanjimaster,lesson2,sub4,",""
"絞る","GIẢO","しぼる","","Vắt (khăn)","12183200","ぞうきんはよく絞って使いなさい。:Vắt kỹ khăn mặt rồi dùng.<br>","N1","1",",newkanjimaster,lesson2,sub5,",""
"滑る","HOẠT","すべる","","Trượt","1376200","山の上からスキーで滑る。:Trượｔ tuyết từ đỉnh núi.<br>","N1","2",",newkanjimaster,lesson2,sub5,",""
"迫る","BÁCH","せまる","","Gần đến","08104200","試験が明日に迫り、落ち着かない。:Kỳ thi thì đã sát ngày mai, không thể từ từ được.<br>","N1","3",",newkanjimaster,lesson2,sub5,",""
"黙る","MẶC","だまる","","Lặng câm","15128200","彼は返事もせず、黙ったままだった。:Anh ấy không trả lời gì, chi ngồi câm lặng.<br>","N1","4",",newkanjimaster,lesson2,sub5,",""
"殴る","ẨU","なぐる","","Đấm","08165200","いくら相手が悪くても、殴るのはよくない。:Đối phương co xấu đến đâu, thì đấm nhau la điều không tốt.<br>","N1","5",",newkanjimaster,lesson2,sub5,",""
"握る","ÁC","にぎる","","Nắm (tay)","1287200","子供は母親の手をしっきり握った。:Đứa bé nắm chặt tay bố mẹ.<br>","N1","6",",newkanjimaster,lesson2,sub5,",""
"濁る","TRỌC","にごる","","Đục (nước)","1635200","大雨の後は川の水が濁る。:Sau cơn mưa to, nước sông trở nên đục.<br>","N1","7",",newkanjimaster,lesson2,sub5,",""
"巡る","TUẦN","めぐる","","Tuần tra","0683200","名所を巡る旅に出る。:","N1","8",",newkanjimaster,lesson2,sub5,",""
"潜る","TIỀM","もぐる","","Lặn","1558200","海に潜って貝を捕る。:Lặn dưới biển, mò ngao.<br>","N1","9",",newkanjimaster,lesson2,sub5,",""
"譲る","NHƯỢNG","ゆずる","","Nhường, nhượng (tài sản)","2010200","父親が子供に財産を譲る。:Bố nhượng tài sản lại cho con cái.<br>","N1","10",",newkanjimaster,lesson2,sub5,",""
"謝る","TẠ","あやまる","","Xin lỗi","1735200","悪いことをしたら、すぐに謝るべきだ。:Nếu đã làm việc xấu thì phải xin lỗi ngay.<br>","N1","11",",newkanjimaster,lesson2,sub5,",""
"偏る","THIÊN","かたよる","","Nghiêng, thiên về","1109200","栄養が偏らないように、バランスのよい食事を考える。:Nghĩ đến bữa ăn cân bằng, không thiên về dinh dưỡng.<br>","N1","12",",newkanjimaster,lesson2,sub5,",""
"透き通る","THẤU","すきとおる","","Xuyên suốt","1079200","川の底まで透き通って見えた。:Có thể nhìn xuyên tận đáy sông.<br>","N1","13",",newkanjimaster,lesson2,sub5,",""
"煮る","CHỬ","にる","","Ninh (thịt)","12142200","肉と野菜を一緒に煮る。:Ninh thịt cùng với rau.<br>","N1","1",",newkanjimaster,lesson2,sub6,",""
"診る","CHẨN","みる","","Khám (bệnh)","12206200","熱があったので、医者に診てもらった。:Vì ốm nên được bác sĩ khám cho.<br>","N1","2",",newkanjimaster,lesson2,sub6,",""
"飽きる","BÃO","あきる","","Chán","13176200","変化のない今の生活には飽きた。:Chán ngấy cuộc sống bình lặng.<br>","N1","3",",newkanjimaster,lesson2,sub6,",""
"飢える","CƠ","うえる","","Chết đói","10226200","世界中には飢えている人々がたくさんいる。:Trên thế giới này có rất nhiều người chết vì đói","N1","4",",newkanjimaster,lesson2,sub6,",""
"殖える","THỰC","ふえる","","Tăng lên (định lượng)","12127200","都心でねずみが殖えているそうだ。:Chuột trong thành phố đang gia tăng.<br>","N1","5",",newkanjimaster,lesson2,sub6,",""
"訴える","TỐ","うったえる","","Tố cáo","12207200","事項を起こした相手を訴える。:Tố cáo người gây ra sự cố.<br>","N1","6",",newkanjimaster,lesson2,sub6,",""
"蓄える","SÚC","たくわえる","","Tích trữ","1335200","災害に備えて、食料品や水を蓄える。:Tích trữ nước va thực phẩm, đề phòng hỏa hoạn.<br>","N1","7",",newkanjimaster,lesson2,sub6,",""
"掛ける","QUẢI","かける","","Treo, phép tính nhân","1195200","壁に絵を掛ける。:Treo tranh trên tường.<br>５に３を掛ける。:Nhân 3 với 5.<br>","N1","8",",newkanjimaster,lesson2,sub6,",""
"避ける","TỊ","さける","","Tránh","1619200","混雑する時間を避けて通勤する。:Tránh thời gian đông nhất để đi làm.<br>","N1","9",",newkanjimaster,lesson2,sub6,",""
"漬ける","TÍ","つける","","Nhúng, ngâm (nước)","1457200","汚れたハンカチを水に漬ける。:Ngâm khăn mùi xoa bẩn trong nước.<br>","N1","10",",newkanjimaster,lesson2,sub6,",""
"怠ける","ĐÃI","なまける","","Lười biếng","0982200","仕事を怠けて遊んでばかりいる。:Lười làm việc, chỉ toàn chơi bời.<br>","N1","11",",newkanjimaster,lesson2,sub6,",""
"揚げる","DƯƠNG","あげる","","Rán","1293200","天ぷらを揚げる。:Rán tenpura.<br>","N1","12",",newkanjimaster,lesson2,sub6,",""
"焦げる","TIÊU","こげる","","Cháy","12144200","火が強すぎて肉が焦げてしまった。:Lửa mạnh quá nên thịt bị cháy hết sạch.<br>","N1","13",",newkanjimaster,lesson2,sub6,",""
"妨げる","PHƯƠNG","さまたげる","","Cản trở","0767200","道路に倒れた木が、通行を妨げている。:Cây đổ trên đường làm cản trở giao thông.<br>","N1","14",",newkanjimaster,lesson2,sub6,",""
"載せる","TẢI","のせる","","Chất lên (xe), đăng (báo)","13152200","車に荷物を載せる。:Chất đồ đạc lên xe ô tô.<br>記事を載せる。:Đăng ký sự.<br>","N1","15",",newkanjimaster,lesson2,sub6,",""
"慌てる","HOẢNG","あわてる","","Vội vã","1281200","「火事だ」の声に、慌てて外へ飛び出した。:Ở chỗ âm thanh 「Cháy rồi」, mọi người vội vã chạy ra ngoài.<br>","N1","1",",newkanjimaster,lesson2,sub7,",""
"隔てる","CÁCH","へだてる","","Phân chia","1341200","川が２つの国を隔てている。:Con sông chia đất nước thành 2 phần.<br>","N1","2",",newkanjimaster,lesson2,sub7,",""
"企てる","XÍ","くわだてる","","Lên kế hoạch (xấu)","0610200","悪い事を企てる。:Lên kế hoạch xấu.<br>","N1","3",",newkanjimaster,lesson2,sub7,",""
"兼ねる","KIÊM","かねる","","Kiêm (nhiệm công việc)","1088200","副社長は、人事部長も兼ねている。:Phó giám đốc kiêm luôn Trưởng phòng nhân sự.<br>","N1","4",",newkanjimaster,lesson2,sub7,",""
"跳ねる","KHIÊU","はねる","","Nhảy (lên)","13149200","池で魚が跳ねる。:Cá nhảy trên sông.<br>","N1","5",",newkanjimaster,lesson2,sub7,",""
"尋ねる","TẦM","たずねる","","Hỏi","1237200","先生に分からないところを尋ねた。:Hỏi thầy giáo chỗ không hiểu.<br>","N1","6",",newkanjimaster,lesson2,sub7,",""
"締める","ĐẾ","しめる","","Đeo (dây bh)","1582200","ズボンのベルトを締める。:Đeo dây thắt lưng.<br>","N1","7",",newkanjimaster,lesson2,sub7,",""
"攻める","CÔNG","せめる","","Công kích","07122200","相手の弱点をせめて、試合に勝った。:Công kích điểm yếu của đối thủ, và giành chiến thắng.<br>","N1","8",",newkanjimaster,lesson2,sub7,",""
"褒める","BAO","ほめる","","Khen","HO15200","長所をほめて子供を育てる。:Khen ngợi điểm mạnh, giáo dục con cái.<br>","N1","9",",newkanjimaster,lesson2,sub7,",""
"納める","NẠP","おさめる","","Nộp (thuế)","10189200","税金を納める。:Nộp thuế.<br>","N1","10",",newkanjimaster,lesson2,sub7,",""
"勧める","KHUYẾN","すすめる","","Gợi ý","1308200","店員に勧められて、新製品を買った。:Được nhân viên cửa hàng gợi ý, tôi đã mua sản phẩm mới.<br>","N1","11",",newkanjimaster,lesson2,sub7,",""
"眺める","THIẾU","ながめる","","Ngắm nhìn","11163200","遠くの山々を眺める。:Ngắm nhìn rặng núi xa xa.<br>","N1","12",",newkanjimaster,lesson2,sub7,",""
"慰める","ÚY","なぐさめる","","An ủi, xoa dịu","1529200","音楽は人の心を慰める。:Âm nhạc an ủi trái tim con người","N1","13",",newkanjimaster,lesson2,sub7,",""
"揺れる","DAO","ゆれる","","Rung, dao động","1294200","風でカーテンが揺れている。:Gió làm rèm cửa rung rinh giao động.<br>","N1","14",",newkanjimaster,lesson2,sub7,",""
"負う","PHỤ","おう","","Ôm, vác","09198200","荷を負って行く。:Ôm đồ đạc và đi.<br>責任を負う。:Gánh vác trách nhiệm.<br>","N1","1",",newkanjimaster,lesson3,sub1,",""
"舞う","VŨ","まう","","Múa","15116200","少女が美しく舞っている。:Bé gái đang múa rất đẹp.<br>","N1","2",",newkanjimaster,lesson3,sub1,",""
"競う","CẠNH","きそう","","Đua","2004200","車のスピードを競う。:Đua xe tốc độ.<br>","N1","3",",newkanjimaster,lesson3,sub1,",""
"担う","ĐẢM","になう","","Khuân vác","08130200","荷物を肩に担う。:Vác hành lý lên vai.<br>","N1","4",",newkanjimaster,lesson3,sub1,",""
"養う","DƯỠNG","やしなう","","Nuôi","14122200","病気の父に代わり、母が家族を養った。:Thay cho bố bị bệnh, me đã nuôi dưỡng gia đình.<br>","N1","5",",newkanjimaster,lesson3,sub1,",""
"損なう","TỔN","そこなう","","Gây tổn hại","1355200","人々の信頼を損なう。:Đánh mất  lòng tin của nhiều người.<br>","N1","6",",newkanjimaster,lesson3,sub1,",""
"恥らう","SỈ","はじらう","","Xấu hổ","1096200","結婚を申し込まれ、娘は恥らいながらうなずいた。:Được cầu hôn, con gai vừa xấu hổ, vừa gật đầu.<br>","N1","7",",newkanjimaster,lesson3,sub1,",""
"見計らう","KIẾN","みはからう","","Xem","07159200","帰宅時間を見計らって田中さんに電話をかけた。:Tính toán thời gian về nhà, gọi điện cho Tanaka.<br>","N1","8",",newkanjimaster,lesson3,sub1,",""
"説く","THUYẾT","とく","","Thuyết giảng","14109200","仏の教えを人々に説く。:Thuyết giảng bài học của phật.<br>","N1","9",",newkanjimaster,lesson3,sub1,",""
"築く","TRÚC","きずく","","Xây dựng, tạo lập","1646200","２人で幸せな家族を築きたい。:Muốn xây dựng hạnh phúc lứa đôi.<br>","N1","10",",newkanjimaster,lesson3,sub1,",""
"背く","BỐI","そむく","","Chống đối","09186200","兄は、親に背いて家を飛び出した。:Anh trai thì chống đối bố mẹ, bỏ nhà ra di.<br>","N1","11",",newkanjimaster,lesson3,sub1,",""
"導く","ĐẠO","みちびく","","Dẫn dắt","1515200","係りの人に導かれて席に着いた。:Được người phụ trách dẫn đến ghế ngồi.<br>","N1","12",",newkanjimaster,lesson3,sub1,",""
"接ぐ","TIẾP","つぐ","","Kết nối","11105200","折れた足の骨を接いだ。:Nối xương chân bị gãy.<br>","N1","13",",newkanjimaster,lesson3,sub1,",""
"研ぐ","NGHIÊN","とぐ","","Mài (dao)","09161200","切れなくなったナイフを研ぐ。:Mài dao cùn.<br>","N1","14",",newkanjimaster,lesson3,sub1,",""
"担ぐ","ĐẢM","かつぐ","","Đeo (balo)","08130200","登山好きの兄は、大きな荷物を担いで山に登る。:Người anh trai thích leo núi thì đã vác hành lý to đùng lên núi.<br>","N1","15",",newkanjimaster,lesson3,sub1,",""
"召す","TRIỆU","めす","","Dùng (kính ngữ)","0541200","奥様はよく和服をお召しになりますか。:Vợ anh có hay mặc áo truyền thống không a.<br>","N1","1",",newkanjimaster,lesson3,sub2,",""
"記す","KÍ","しるす","","Điền (tên)","10209200","受付のノートに自分の名前を記す。:Điền tên vào sổ của lễ tân.<br>","N1","2",",newkanjimaster,lesson3,sub2,",""
"逃す","ĐÀO","のがす","","Bỏ lỡ","0972200","犯人を逃す。:Bỏ lỡ phạm nhân.<br>機会を逃す。:Bỏ lỡ cơ hội.<br>","N1","3",",newkanjimaster,lesson3,sub2,",""
"耕す","CANH","たがやす","","Canh tác, làm ruộng","10194200","機械化される以前は、畑を耕すのに多くの時間がかかった。:Trước thời kì máy móc hóa, tốn rất nhiều thời gian khi cacnh tác ruộng.<br>","N1","4",",newkanjimaster,lesson3,sub2,",""
"著す","TRỨ","あらわす","","Ghi lại","1166200","彼は自身が見た日本のようすを旅行記に著した。:Anh ấy ghi lại những điều mình thấy vào nhật ký du lịch.<br>","N1","5",",newkanjimaster,lesson3,sub2,",""
"志す","CHÍ","こころざす","","Quyết chí","07101200","兄は医者を志して勉強している。:Ah trai đang học hành quyết chí trở thành bác sỹ.<br>","N1","6",",newkanjimaster,lesson3,sub2,",""
"明かす","MINH","あかす","","Làm sáng tỏ","08147200","真実を明かす。:Làm sáng tỏ sự thật.<br>夜を明かす。:Chiếu sáng ban đêm.<br>","N1","7",",newkanjimaster,lesson3,sub2,",""
"生かす","SINH","いかす","","Phát huy, làm sống lại","0589200","釣った魚を生かしておく。:Làm con cá câu được sống lại.<br>専門を生かす。:Phát huy chuyên môn.<br>","N1","8",",newkanjimaster,lesson3,sub2,",""
"抜かす","BẠT","ぬかす","","Bỏ qua","07116200","スピーチで一番重要なところを抜かしてしまった。:Bỏ qua mất chỗ quan trọng trong bài phát biểu.<br>","N1","9",",newkanjimaster,lesson3,sub2,",""
"生やす","SINH","はやす","","Nuôi (râu)","0589200","祖父は長いひげを生やしている。:Ông thì đang nuôi râu.<br>","N1","10",",newkanjimaster,lesson3,sub2,",""
"費やす","PHÍ","ついやす","","Tiêu tốn","12215200","研究に多くの時間を費やす。:Tốn nhiều thời gian vào nghiên cứu.<br>","N1","11",",newkanjimaster,lesson3,sub2,",""
"交わす","GIAO","かわす","","Trao đổi","0606200","初めてあった人と言葉を交わした。:Trao đổi qua lại với người lần đầu gặp mặt.<br>","N1","12",",newkanjimaster,lesson3,sub2,",""
"冷やかす","LÃNH","ひやかす","","Trêu ghẹo","0728200","恋人と歩いているところを友人に見られ、冷やかされた。:Bị bạn bè nhìn thấy đi chơi với người yêu, nên bị trêu.<br>","N1","13",",newkanjimaster,lesson3,sub2,",""
"断つ","ĐOẠN, ĐOÁN","たつ","","Dừng, đoạn tuyệt","11116200","酒やたばこを断つのは難しい。:Dừng không uống rượu hay thuốc lá là việc rất khó.<br>","N1","1",",newkanjimaster,lesson3,sub3,",""
"保つ","BẢO","たもつ","","Bảo vệ","0912200","健康を保つために、水泳を始めた。:Để bảo vệ sức khỏe, tôi bắt đầu bơi.<br>","N1","2",",newkanjimaster,lesson3,sub3,",""
"尊ぶ","TÔN","とうとぶ","","Kính viếng","1238200","先祖を尊び、墓にお参りする。:Viếng tổ tiên, tôi đi thăm mộ.<br>","N1","3",",newkanjimaster,lesson3,sub3,",""
"産む","SẢN","うむ","","Đẻ","11156200","先月、姉が２人の子供を産んだ。:Tháng trước, chị gái đã sinh 2 đứa bé.<br>","N1","4",",newkanjimaster,lesson3,sub3,",""
"富む","PHÚ","とむ","","Giàu, phong phú (tiền, kiến thức)","1236200","国が富む。:Đất nước giàu có.<br>彼は経験に富んだ人だ。:Anh ấy là người có kinh nghiệm phong phú.<br>","N1","5",",newkanjimaster,lesson3,sub3,",""
"痛む","THỐNG","いたむ","","Đau","12155200","胸を痛んで、長い間入院した。:Vì đau ngực nên đã nhập viện được 1 thời gian.<br>","N1","6",",newkanjimaster,lesson3,sub3,",""
"歩む","BỘ","あゆむ","","Bước đi","08164200","正しいと信じる道を歩む。:Bước đi trên con đường tin la đúng đắn.<br>","N1","7",",newkanjimaster,lesson3,sub3,",""
"絡む","LẠC","からむ","","Rối (tóc, sợi)","12186200","糸が絡んで、解けない。:Sợi bị rối, không thể gỡ.<br>","N1","8",",newkanjimaster,lesson3,sub3,",""
"涼む","LƯƠNG","しずむ","","Làm mát","11145200","ひどい暑さですね。少し木下で涼みましょう。:Nóng khủng khiếp.<br> Đứng dưới cây và làm mát một chút thôi.<br>","N1","9",",newkanjimaster,lesson3,sub3,",""
"恵む","HUỆ","めぐむ","","Ban phát","1093200","牧師は貧しい男に金を恵んだ。:Mục sư đã ban phát tiền cho người đàn ông nghèo.<br>","N1","10",",newkanjimaster,lesson3,sub3,",""
"営む","DOANH","いとなむ","","Điều hành (kinh doanh)","1277200","兄はレストランを営んでいる。:Anh trai đang điều hành nhà hàng.<br>生活を営む。:Điều hành cuộc sống.<br>","N1","11",",newkanjimaster,lesson3,sub3,",""
"危ぶむ","NGUY","あやぶむ","","Nguy cơ","0640200","不景気で、会社の存続が危ぶまれている。:Trong bối cảnh khủng hoảng, sự tồn vong của công ty đang có nguy cơ.<br>","N1","12",",newkanjimaster,lesson3,sub3,",""
"反る","PHẢN","そる","","Quăn, cong","0437200","乾燥して板が反ってしまった。:Vì khô quá nên miếng ván bị cong.<br>","N1","1",",newkanjimaster,lesson4,sub4,",""
"練る","LUYỆN","ねる","","Nghiền, nhào nặn","1493200","小麦粉を練ってパンを作る。:Nghiền bột làm bánh ỳ.<br>作戦を練る。:Nhào nặn kế hoạch tác chiến.<br>","N1","2",",newkanjimaster,lesson4,sub4,",""
